parameters,Avg. Temperature (°F),Min. Temperature (°F),Max. Temperature (°F),Precipitation / Rainfall mm (in),Rainy days (d),avg. Sun hours (hours)
January,27.6,25.5,30.8,60,9,8.1
February,27.9,25.5,31.3,57,8,8
March,27.4,25.1,30.5,166,17,7.5
April,26.2,24.3,28.8,232,20,6.8
May,25.6,23.8,27.9,163,17,7.7
June,24.8,22.9,27.4,50,12,8.6
July,24.4,22.3,27.2,36,10,8.8
August,24.5,22.2,27.6,36,10,8.6
September,25.2,22.7,28.7,34,9,8.5
October,26.1,23.5,29.5,68,11,8.4
November,26.7,24.3,29.8,104,14,8.2
December,27.3,25,30.1,108,16,8.1
